X,Y,OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,LATITUDE,LONGITUDE,LAT,LGT
-66.055292,18.45104,120,914,SAN JUAN,PR,18.45104,-66.055292,18.45104,-66.055292
-66.04765263,18.43741594,121,915,SAN JUAN,PR,18.43741594,-66.04765263,18.43741594,-66.04765263
-66.0535,18.4396,122,916,SAN JUAN,PR,18.4396,-66.0535,18.4396,-66.0535
-66.05026897,18.42137312,123,917,SAN JUAN,PR,18.42137312,-66.05026897,18.42137312,-66.05026897
-66.06304453,18.41644697,124,918,SAN JUAN,PR,18.41644697,-66.06304453,18.41644697,-66.06304453
-66.069908,18.427066,125,919,SAN JUAN,PR,18.427066,-66.069908,18.427066,-66.069908
-66.08976883,18.40952825,126,920,SAN JUAN,PR,18.40952825,-66.08976883,18.40952825,-66.08976883
-66.08896684,18.39288975,127,921,SAN JUAN,PR,18.39288975,-66.08896684,18.39288975,-66.08896684
-66.1026,18.4116,128,922,SAN JUAN,PR,18.4116,-66.1026,18.4116,-66.1026
-66.03689615,18.41050501,129,923,SAN JUAN,PR,18.41050501,-66.03689615,18.41050501,-66.03689615
-66.01406626,18.39974978,130,924,SAN JUAN,PR,18.39974978,-66.01406626,18.39974978,-66.01406626
-66.05315053,18.40286404,131,925,SAN JUAN,PR,18.40286404,-66.05315053,18.40286404,-66.05315053
-66.05646766,18.36817842,132,926,SAN JUAN,PR,18.36817842,-66.05646766,18.36817842,-66.05646766
-66.06909915,18.39247471,133,927,SAN JUAN,PR,18.39247471,-66.06909915,18.39247471,-66.06909915
-66.048371,18.397653,134,928,SAN JUAN,PR,18.397653,-66.048371,18.397653,-66.048371
-66.010827,18.397262,135,929,SAN JUAN,PR,18.397262,-66.010827,18.397262,-66.010827
-66.048357,18.397654,136,931,SAN JUAN,PR,18.397654,-66.048357,18.397654,-66.048357
-66.11311184,18.41750658,137,934,FORT BUCHANAN,PR,18.41750658,-66.11311184,18.41750658,-66.11311184
-66.07611262,18.41751407,138,936,SAN JUAN,PR,18.41751407,-66.07611262,18.41751407,-66.07611262
-65.9965,18.4428,139,937,SAN JUAN,PR,18.4428,-65.9965,18.4428,-65.9965
-66.0685,18.4441,140,940,SAN JUAN,PR,18.4441,-66.0685,18.4441,-66.0685
-66.19493826,18.43587857,141,949,TOA BAJA,PR,18.43587857,-66.19493826,18.43587857,-66.19493826
-66.2113,18.4113,142,950,TOA BAJA,PR,18.4113,-66.2113,18.4113,-66.2113
-66.2113,18.4113,143,951,TOA BAJA,PR,18.4113,-66.2113,18.4113,-66.2113
-66.18355801,18.43021361,144,952,SABANA SECA,PR,18.43021361,-66.18355801,18.43021361,-66.18355801
-66.22600765,18.38503713,145,953,TOA ALTA,PR,18.38503713,-66.22600765,18.38503713,-66.22600765
-66.2488,18.3869,146,954,TOA ALTA,PR,18.3869,-66.2488,18.3869,-66.2488
-66.16148702,18.36345388,147,956,BAYAMON,PR,18.36345388,-66.16148702,18.36345388,-66.16148702
-66.18188034,18.36978374,148,957,BAYAMON,PR,18.36978374,-66.18188034,18.36978374,-66.18188034
-66.1722,18.3802,149,958,BAYAMON,PR,18.3802,-66.1722,18.3802,-66.1722
-66.15365603,18.3920047,150,959,BAYAMON,PR,18.3920047,-66.15365603,18.3920047,-66.15365603
-66.1559,18.3891,151,960,BAYAMON,PR,18.3891,-66.1559,18.3891,-66.1559
-66.162426,18.408185,152,961,BAYAMON,PR,18.408185,-66.162426,18.408185,-66.162426
-66.13229938,18.43715226,153,962,CATANO,PR,18.43715226,-66.13229938,18.43715226,-66.13229938
-66.11905,18.441279,154,963,CATANO,PR,18.441279,-66.11905,18.441279,-66.11905
-66.1160228,18.43161353,155,965,GUAYNABO,PR,18.43161353,-66.1160228,18.43161353,-66.1160228
-66.11441568,18.39908051,156,966,GUAYNABO,PR,18.39908051,-66.11441568,18.39908051,-66.11441568
-66.10033663,18.40577059,157,968,GUAYNABO,PR,18.40577059,-66.10033663,18.40577059,-66.10033663
-66.10721374,18.36826795,158,969,GUAYNABO,PR,18.36826795,-66.10721374,18.36826795,-66.10721374
-66.114462,18.357174,159,970,GUAYNABO,PR,18.357174,-66.114462,18.357174,-66.114462
-66.10643084,18.35749251,160,971,GUAYNABO,PR,18.35749251,-66.10643084,18.35749251,-66.10643084
-66.01702014,18.36386639,161,976,TRUJILLO ALTO,PR,18.36386639,-66.01702014,18.36386639,-66.01702014
-66.123439,18.436731,162,977,TRUJILLO ALTO,PR,18.436731,-66.123439,18.436731,-66.123439
-66.01850985,18.43892755,163,979,CAROLINA,PR,18.43892755,-66.01850985,18.43892755,-66.01850985
-65.9965,18.4428,164,981,CAROLINA,PR,18.4428,-65.9965,18.4428,-65.9965
-65.99286183,18.40962867,165,982,CAROLINA,PR,18.40962867,-65.99286183,18.40962867,-65.99286183
-65.97611571,18.4165979,166,983,CAROLINA,PR,18.4165979,-65.97611571,18.4165979,-65.97611571
-65.9754,18.41,167,984,CAROLINA,PR,18.41,-65.9754,18.41,-65.9754
-65.95947448,18.39778353,168,985,CAROLINA,PR,18.39778353,-65.95947448,18.39778353,-65.95947448
-65.956168,18.379811,169,986,CAROLINA,PR,18.379811,-65.956168,18.379811,-65.956168
-65.96813365,18.37327467,170,987,CAROLINA,PR,18.37327467,-65.96813365,18.37327467,-65.96813365
-65.9791,18.3978,171,988,CAROLINA,PR,18.3978,-65.9791,18.3978,-65.9791
-72.62239573,42.07027494,172,1001,AGAWAM,MA,42.07027494,-72.62239573,42.07027494,-72.62239573
-72.51079878,42.37487363,173,1002,AMHERST,MA,42.37487363,-72.51079878,42.37487363,-72.51079878
-72.52606774,42.38509428,174,1003,AMHERST,MA,42.38509428,-72.52606774,42.38509428,-72.52606774
-72.52697224,42.37331345,175,1004,AMHERST,MA,42.37331345,-72.52697224,42.37331345,-72.52697224
-72.11197475,42.41341099,176,1005,BARRE,MA,42.41341099,-72.11197476,42.41341099,-72.11197476
-72.40905777,42.27359543,177,1007,BELCHERTOWN,MA,42.27359543,-72.40905777,42.27359543,-72.40905777
-72.94536788,42.18677379,178,1008,BLANDFORD,MA,42.18677379,-72.94536788,42.18677379,-72.94536788
-72.20249423,42.13330728,179,1010,BRIMFIELD,MA,42.13330728,-72.20249423,42.13330728,-72.20249423
-72.96718932,42.29392321,180,1011,CHESTER,MA,42.29392321,-72.96718932,42.29392321,-72.96718932
-72.84003398,42.37845467,181,1012,CHESTERFIELD,MA,42.37845467,-72.84003398,42.37845467,-72.84003398
-72.60786437,42.16235147,182,1013,CHICOPEE,MA,42.16235147,-72.60786437,42.16235147,-72.60786437
-72.608228,42.145695,183,1014,CHICOPEE,MA,42.145695,-72.608228,42.145695,-72.608228
-72.57598501,42.1757725,184,1020,CHICOPEE,MA,42.1757725,-72.57598501,42.1757725,-72.57598501
-72.585325,42.15852,185,1021,CHICOPEE,MA,42.15852,-72.585325,42.15852,-72.585325
-72.55893674,42.19509398,186,1022,CHICOPEE,MA,42.19509398,-72.55893674,42.19509398,-72.55893674
-72.91957053,42.4673899,187,1026,CUMMINGTON,MA,42.4673899,-72.91957054,42.4673899,-72.91957054
-72.67716477,42.2685473,188,1027,EASTHAMPTON,MA,42.2685473,-72.67716477,42.2685473,-72.67716477
-72.50662687,42.06416808,189,1028,EAST LONGMEADOW,MA,42.06416808,-72.50662687,42.06416808,-72.50662687
-72.67408192,42.07057072,190,1030,FEEDING HILLS,MA,42.07057072,-72.67408192,42.07057072,-72.67408192
-72.18276989,42.32929971,191,1031,GILBERTVILLE,MA,42.32929971,-72.18276989,42.32929971,-72.18276989
-72.82149931,42.4534663,192,1032,GOSHEN,MA,42.4534663,-72.82149931,42.4534663,-72.82149931
-72.52569873,42.25356023,193,1033,GRANBY,MA,42.25356023,-72.52569873,42.25356023,-72.52569873
-72.93414149,42.06852225,194,1034,GRANVILLE,MA,42.06852225,-72.93414149,42.06852225,-72.93414149
-72.57293598,42.35635597,195,1035,HADLEY,MA,42.35635597,-72.57293598,42.35635597,-72.57293598
-72.42704534,42.06581355,196,1036,HAMPDEN,MA,42.06581355,-72.42704534,42.06581355,-72.42704534
-72.60540045,42.37623903,197,1038,HATFIELD,MA,42.37623903,-72.60540045,42.37623903,-72.60540045
-72.69054548,42.39158117,198,1039,HAYDENVILLE,MA,42.39158117,-72.69054548,42.39158117,-72.69054548
-72.62616851,42.20248456,199,1040,HOLYOKE,MA,42.20248456,-72.62616851,42.20248456,-72.62616851
-72.61469742,42.20203012,200,1041,HOLYOKE,MA,42.20203012,-72.61469742,42.20203012,-72.61469742
-72.86543784,42.26757208,201,1050,HUNTINGTON,MA,42.26757208,-72.86543784,42.26757208,-72.86543784
-72.69866852,42.35229763,202,1053,LEEDS,MA,42.35229763,-72.69866852,42.35229763,-72.69866852
-72.49700921,42.46877932,203,1054,LEVERETT,MA,42.46877932,-72.49700921,42.46877932,-72.49700921
-72.46993878,42.17337534,204,1056,LUDLOW,MA,42.17337534,-72.46993878,42.17337534,-72.46993878
-72.32131949,42.09793054,205,1057,MONSON,MA,42.09793054,-72.32131949,42.09793054,-72.32131949
-72.63643005,42.32418448,206,1060,NORTHAMPTON,MA,42.32418448,-72.63643005,42.32418448,-72.63643005
-72.627163,42.321612,207,1061,NORTHAMPTON,MA,42.321612,-72.627163,42.321612,-72.627163
-72.67784075,42.32583884,208,1062,FLORENCE,MA,42.32583884,-72.67784075,42.32583884,-72.67784075
-72.05266398,42.3489797,209,1068,OAKHAM,MA,42.3489797,-72.05266398,42.3489797,-72.05266398
-72.32435381,42.17003683,210,1069,PALMER,MA,42.17003683,-72.32435381,42.17003683,-72.32435381
-72.9209937,42.51692891,211,1070,PLAINFIELD,MA,42.51692891,-72.9209937,42.51692891,-72.9209937
-72.85723234,42.16164976,212,1071,RUSSELL,MA,42.16164976,-72.85723234,42.16164976,-72.85723234
-72.42801563,42.46874493,213,1072,SHUTESBURY,MA,42.46874493,-72.42801563,42.46874493,-72.42801563
-72.71754707,42.22574669,214,1073,SOUTHAMPTON,MA,42.22574669,-72.71754707,42.22574669,-72.71754707
-72.58313627,42.23760438,215,1075,SOUTH HADLEY,MA,42.23760438,-72.58313627,42.23760438,-72.58313627
-72.76954725,42.05367249,216,1077,SOUTHWICK,MA,42.05367249,-72.76954725,42.05367249,-72.76954725
-72.3626516,42.18119538,217,1080,THREE RIVERS,MA,42.18119538,-72.3626516,42.18119538,-72.3626516
-72.22558021,42.05981039,218,1081,WALES,MA,42.05981039,-72.22558021,42.05981039,-72.22558021
-72.25759234,42.26457936,219,1082,WARE,MA,42.26457936,-72.25759234,42.26457936,-72.25759234
-72.88165047,42.37766761,220,1084,WEST CHESTERFIELD,MA,42.37766761,-72.88165047,42.37766761,-72.88165047
-72.74935352,42.12852347,221,1085,WESTFIELD,MA,42.12852347,-72.74935352,42.12852347,-72.74935352
-72.63744406,42.38719127,222,1088,WEST HATFIELD,MA,42.38719127,-72.63744406,42.38719127,-72.63744406
-72.63899023,42.11574054,223,1089,WEST SPRINGFIELD,MA,42.11574054,-72.63899024,42.11574054,-72.63899024
-72.621969,42.106201,224,1090,WEST SPRINGFIELD,MA,42.106201,-72.621969,42.106201,-72.621969
-72.44385688,42.13091978,225,1095,WILBRAHAM,MA,42.13091978,-72.44385688,42.13091978,-72.44385688
-72.76759718,42.4117401,226,1096,WILLIAMSBURG,MA,42.4117401,-72.76759718,42.4117401,-72.76759718
-72.93651525,42.39784085,227,1098,WORTHINGTON,MA,42.39784085,-72.93651525,42.39784085,-72.93651525
-72.597415,42.106324,228,1101,SPRINGFIELD,MA,42.106324,-72.597415,42.106324,-72.597415
-72.58830843,42.10352221,229,1103,SPRINGFIELD,MA,42.10352221,-72.58830843,42.10352221,-72.58830843
-72.5777979,42.12867435,230,1104,SPRINGFIELD,MA,42.12867435,-72.5777979,42.12867435,-72.5777979
-72.57824543,42.10135956,231,1105,SPRINGFIELD,MA,42.10135956,-72.57824543,42.10135956,-72.57824543
-72.56638718,42.05152506,232,1106,LONGMEADOW,MA,42.05152506,-72.56638719,42.05152506,-72.56638719
-72.60658737,42.11883503,233,1107,SPRINGFIELD,MA,42.11883503,-72.60658737,42.11883503,-72.60658737
-72.55838085,42.08538429,234,1108,SPRINGFIELD,MA,42.08538429,-72.55838086,42.08538429,-72.55838086
-72.55175015,42.11648964,235,1109,SPRINGFIELD,MA,42.11648964,-72.55175015,42.11648964,-72.55175015
-72.553,42.0447,236,1116,LONGMEADOW,MA,42.0447,-72.553,42.0447,-72.553
-72.52790816,42.09303572,237,1118,SPRINGFIELD,MA,42.09303572,-72.52790816,42.09303572,-72.52790816
-72.51098391,42.12726093,238,1119,SPRINGFIELD,MA,42.12726093,-72.51098391,42.12726093,-72.51098391
-72.488333,42.09588858,239,1128,SPRINGFIELD,MA,42.09588858,-72.488333,42.09588858,-72.488333
-72.48833776,42.12415345,240,1129,SPRINGFIELD,MA,42.12415345,-72.48833776,42.12415345,-72.48833776
-72.563331,42.087164,241,1138,SPRINGFIELD,MA,42.087164,-72.563331,42.087164,-72.563331
-72.560604,42.112678,242,1139,SPRINGFIELD,MA,42.112678,-72.560604,42.112678,-72.560604
-72.50369903,42.15469454,243,1151,INDIAN ORCHARD,MA,42.15469454,-72.50369903,42.15469454,-72.50369903
-73.24854401,42.45193213,244,1201,PITTSFIELD,MA,42.45193213,-73.24854401,42.45193213,-73.24854401
-73.248752,42.449464,245,1202,PITTSFIELD,MA,42.449464,-73.248752,42.449464,-73.248752
-73.11765906,42.62350754,246,1220,ADAMS,MA,42.62350754,-73.11765906,42.62350754,-73.11765906
-73.31592975,42.06003967,247,1222,ASHLEY FALLS,MA,42.06003967,-73.31592975,42.06003967,-73.31592975
-73.08603582,42.2944334,248,1223,BECKET,MA,42.2944334,-73.08603582,42.2944334,-73.08603582
-73.1993214,42.50629806,249,1224,BERKSHIRE,MA,42.50629806,-73.1993214,42.50629806,-73.1993214
